SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513519,PITTI LAMIN.,B ,Q,96.75,97.35,94.55,95.80,95.80,95.80,132,9671,932836.00,
513528,GLITTEK GRAN,XT,Q,2.40,2.40,2.38,2.38,2.38,2.50,5,7415,17667.00,
513532,PRADEEP MET.,X ,Q,104.50,105.00,100.00,100.70,100.40,103.65,19,803,81734.00,
513534,VARDHMAN IND,X ,Q,12.45,12.47,11.50,12.10,11.50,12.74,15,2911,35525.00,
513548,SHARDA ISPAT,XT,Q,94.50,94.50,90.00,94.00,94.00,94.50,3,103,9724.00,
513554,MAHA STEEL  ,B ,Q,66.80,67.00,65.20,65.65,65.20,66.10,6,178,11853.00,
513558,REAL STRIPS ,XT,Q,11.50,11.50,11.15,11.15,11.15,11.64,2,3133,35994.00,
513566,NOVA IRON&ST,XT,Q,9.05,9.98,9.05,9.06,9.10,9.51,13,1096,10379.00,
513597,SURANA INDS ,T ,Q,2.30,2.39,2.19,2.38,2.38,2.30,6,625,1378.00,
513599,HIND.COPPER ,A ,Q,74.70,75.65,73.80,74.10,74.10,74.45,1016,304577,22790184.00,
513605,SRIPIPES    ,B ,Q,374.00,380.00,370.00,374.40,375.35,369.60,407,18604,6996945.00,
513642,AXEL POLYMER,XT,Q,20.75,20.75,19.00,19.10,19.00,19.80,25,7509,147088.00,
513683,NLCINDIA    ,A ,Q,86.70,88.10,86.60,86.80,86.80,86.70,178,16858,1467605.00,
513687,SPECTRA IND.,X ,Q,24.60,27.50,24.60,26.65,26.65,26.00,13,1159,29717.00,
513691,JMT AUTO LTD,B ,Q,4.05,4.38,4.05,4.09,4.15,4.22,71,39873,165939.00,
513693,KIC METALIKS,X ,Q,176.50,177.50,176.50,176.50,176.50,176.50,4,2668,473402.00,
513703,KUMAR WIRE  ,XT,Q,45.00,45.00,45.00,45.00,45.00,47.00,1,2,90.00,
513709,SHILP GRAVUR,X ,Q,147.00,153.95,147.00,151.20,153.00,147.05,185,6767,1022696.00,
513713,WHITEORG    ,X ,Q,106.90,106.90,101.10,102.35,102.05,103.20,87,4832,501257.00,
513729,ARO GRANITE ,B ,Q,58.70,58.90,57.75,57.80,57.75,58.65,44,3454,202216.00,
514010,HIM.FIBRES  ,X ,Q,4.52,5.34,4.51,5.24,5.34,5.01,20,4386,21869.00,
514028,RAJKAMAL SYN,XT,Q,19.20,19.20,19.20,19.20,19.20,18.45,1,10,192.00,
514030,DEEPAK SPINN,X ,Q,83.00,84.15,82.00,83.00,83.00,82.50,7,1791,148841.00,
514034,JBF IND.LTD ,B ,Q,94.50,99.85,92.00,98.55,99.00,95.10,372,31523,3082961.00,
514036,LOY.TEX MILL,X ,Q,615.00,615.00,600.05,600.30,600.05,611.55,10,79,48134.00,
514043,HIMAT.SEIDE ,B ,Q,384.20,388.70,380.10,383.65,383.65,384.75,242,9092,3497497.00,
514045,BSL LTD.    ,B ,Q,65.25,65.25,63.35,64.10,64.00,65.40,12,745,47755.00,
514087,PBM POLYTEX ,X ,Q,87.00,91.00,87.00,87.55,87.55,86.50,12,340,30166.00,
514128,KONARK SYN. ,X ,Q,16.65,16.65,16.65,16.65,16.65,16.03,1,87,1448.00,
514142,TT LTD.     ,B ,Q,94.40,96.85,94.40,95.50,95.85,91.85,44,4055,387645.00,
514144,UNIWORTH LTD,XT,Q,0.64,0.64,0.64,0.64,0.64,0.64,1,50,32.00,
514162,WELSPUN (I) ,A ,Q,57.00,57.90,53.35,57.05,57.05,56.70,944,207594,11849239.00,
514165,IND.ACRYLICS,X ,Q,14.30,14.70,14.15,14.25,14.25,14.40,107,52066,745971.00,
514167,GANESH ECOSP,B ,Q,391.10,392.50,387.15,391.25,392.50,388.75,21,562,219459.00,
514175,VARDHMAN POL,B ,Q,18.50,18.80,18.50,18.80,18.80,19.00,14,1773,33194.00,
514183,BLA ROS IND ,XT,Q,47.30,50.05,47.30,49.80,50.05,47.70,51,16098,797022.00,
514211,SUMEET INDUS,B ,Q,16.25,16.25,15.70,15.85,16.00,15.90,279,102289,1635518.00,
514215,BINNY LTD.  ,X ,Q,229.00,229.00,220.00,228.55,228.00,220.00,32,1551,349582.00,
514221,KLIFESTYLE  ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,1500,285.00,
514223,RAMGOPAL POL,T ,Q,8.05,8.05,8.05,8.05,8.05,7.67,7,4200,33810.00,
514234,SANGAM INDIA,B ,Q,120.05,129.90,120.05,128.05,128.05,126.55,78,2533,324430.00,
514264,SEASONS TEXT,X ,Q,16.35,18.00,16.35,17.20,17.95,17.20,99,25590,440305.00,
514266,ZENITH FIBRE,XT,Q,94.85,98.90,94.80,94.90,94.90,98.40,14,751,71456.00,
514272,BHILWARA SP.,X ,Q,9.05,9.11,9.05,9.11,9.11,9.26,4,600,5448.00,
514274,AARVEE DENIM,B ,Q,44.00,45.00,43.90,44.70,44.50,44.80,25,3482,154446.00,
514280,SANRHEA TECH,XT,Q,44.25,47.70,44.25,47.70,47.70,46.50,4,1001,44297.00,
514286,ASHIMA LTD. ,B ,Q,30.65,31.20,29.65,29.95,29.95,30.00,178,53930,1629870.00,
514300,PIONEER EMB ,B ,Q,30.60,31.25,29.80,30.05,30.05,30.50,60,3277,99207.00,
514302,VIPPY SPIN. ,X ,Q,50.20,51.00,48.30,51.00,51.00,50.10,14,4404,220281.00,
514316,RAGHUVIR SYN,XT,Q,170.00,170.00,167.00,167.00,167.00,166.00,2,130,21800.00,
514322,KAMADGIRI   ,X ,Q,125.00,125.00,124.00,124.40,125.00,126.00,6,1605,199491.00,
